web-scraper-start-url,yearrersults,yearrersults-href,Year ▴,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
"http://nflcombineresults.com/large-combine-data-update-complete/","1999 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1999&pos=&college=","null","John Humphrey","Texas A&M-Kingsville","RB","69.00","195","","4.54","19","35.5","122","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2003 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2003&pos=&college=","null","Gabe Reid","Brigham Young","TE","75.40","255","","4.81","23","37.0","119","4.31","7.48"
"http://nflcombineresults.com/large-combine-data-update-complete/","1987 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1987&pos=&college=","null","Leonard Bell","Indiana","SS","70.80","201","","4.61","18","30.0","106","4.30","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1988 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1988&pos=&college=","null","Jim Thornton","Cal-State Fullerton","TE","74.00","246","","4.70","29","36.0","123","4.31","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2013 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2013&pos=&college=","null","Matt Barkley","Southern California","QB","74.00","230","30","4.91","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2017 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2017&pos=&college=","null","Desmond King","Iowa","CB","70.25","201","","9.99","14","34.0","117","4.18","6.67"
"http://nflcombineresults.com/large-combine-data-update-complete/","1999 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1999&pos=&college=","null","Willie Jones","Grambling State (LA)","OT","79.00","372","","5.58","30","26.0","102","4.78","8.01"
"http://nflcombineresults.com/large-combine-data-update-complete/","2008 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2008&pos=&college=","null","Tyler Polumbus","Colorado","OT","79.50","312","","5.35","24","26.0","112","4.86","7.71"
"http://nflcombineresults.com/large-combine-data-update-complete/","2006 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2006&pos=&college=","null","Tim McGarigle","Northwestern","ILB","72.63","242","","4.78","","38.0","118","4.07","7.09"
"http://nflcombineresults.com/large-combine-data-update-complete/","2002 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2002&pos=&college=","null","Matt Hill","Boise State","OT","78.10","300","","5.35","20","28.5","98","4.54","7.58"
"http://nflcombineresults.com/large-combine-data-update-complete/","1993 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1993&pos=&college=","null","Steve Smith","Bowie State (MD)","CB","70.30","180","","9.99","12","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1998 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1998&pos=&college=","null","Chris Floyd","Michigan","FB","72.10","235","","4.69","17","28.0","112","4.49","7.70"
"http://nflcombineresults.com/large-combine-data-update-complete/","2001 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2001&pos=&college=","null","Margin Hooks","Brigham Young","WR","70.60","191","","4.46","","36.0","116","4.18","7.08"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Ryan Murphy","Oregon State","FS","73.00","209","","4.59","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2016 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2016&pos=&college=","null","Cody Whitehair","Kansas State","G","75.00","301","","5.02","16","25.5","110","4.58","7.32"
"http://nflcombineresults.com/large-combine-data-update-complete/","2010 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2010&pos=&college=","null","Darian Stewart","South Carolina","SS","71.00","213","","4.53","12","37.0","122","4.32","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2006 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2006&pos=&college=","null","Charlton Keith","Kansas","OLB","76.38","237","","4.83","12","30.5","109","4.36","7.03"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Eric Tomlinson","Texas-El Paso","TE","77.63","263","","4.98","19","30.5","110","4.54","7.46"
"http://nflcombineresults.com/large-combine-data-update-complete/","1988 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1988&pos=&college=","null","Pat Carter","Florida State","TE","75.90","263","","4.92","11","29.0","98","4.77","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1998 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1998&pos=&college=","null","Eric Gohlstin","Ohio State","OT","75.50","337","","9.99","20","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","Kenneth Mcdaniel","Norfolk State (VA)","OG","74.50","322","","5.42","29","23.0","93","4.94","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","Reggie Brown","Frenso State (CA)","FB","72.10","242","","4.86","","32.5","117","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1992 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1992&pos=&college=","null","Mark Barsotti","Frenso State (CA)","QB","73.50","207","","4.92","","28.5","108","4.50","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2004 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2004&pos=&college=","null","Daryl Smith","Georgia Tech","OLB","73.60","234","","4.67","24","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1997 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1997&pos=&college=","null","Dimitrious Stanley","Ohio State","WR","70.90","188","","4.73","","29.0","105","4.50","7.83"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Caushaud Lyons","Tusculum (TN)","DE","76.00","285","","4.96","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1992 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1992&pos=&college=","null","Bryan May","Brigham Young","OT","77.90","295","","5.49","17","26.5","103","4.95","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1989 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1989&pos=&college=","null","Mark Nua","Hawaii","OT","78.10","374","","5.85","23","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2003 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2003&pos=&college=","null","Derek Watson","South Carolina","RB","73.00","212","","4.63","15","34.0","114","4.20","7.35"
"http://nflcombineresults.com/large-combine-data-update-complete/","1997 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1997&pos=&college=","null","Bert Berry","Notre Dame","DE","74.60","243","","4.64","27","37.5","123","4.49","7.79"
"http://nflcombineresults.com/large-combine-data-update-complete/","1995 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1995&pos=&college=","null","Henry Bailey","Nevada Las Vegas","WR","68.00","176","","4.48","","38.5","130","4.12","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2007 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2007&pos=&college=","null","CJ Ah You","Oklahoma","DE","75.75","274","","4.73","26","36.5","108","4.40","7.06"
"http://nflcombineresults.com/large-combine-data-update-complete/","1999 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1999&pos=&college=","null","Andre Slappey","Albany State (GA)","DT","76.90","302","","5.77","19","25.5","96","4.94","8.72"
"http://nflcombineresults.com/large-combine-data-update-complete/","1993 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1993&pos=&college=","null","Barry Minter","Tulsa (OK)","OLB","74.30","236","","4.62","14","34.5","118","4.15","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2008 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2008&pos=&college=","null","Mike Jenkins","South Florida","CB","70.25","197","","4.43","18","34.0","117","4.40","7.21"
"http://nflcombineresults.com/large-combine-data-update-complete/","1990 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1990&pos=&college=","null","Blake Bednarz","Syracuse","C","74.60","314","","5.61","32","25.0","96","4.79","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2007 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2007&pos=&college=","null","David Patterson","Ohio State","DT","74.13","285","","5.12","21","32.5","118","4.43","7.47"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","Sean Boyd","North Carolina","SS","74.40","208","","4.60","","35.0","118","4.50","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2002 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2002&pos=&college=","null","Daniel Graham","Colorado","TE","75.10","248","","4.64","","36.0","116","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1999 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1999&pos=&college=","null","Gerald Williams","Oklahoma","WR","75.00","207","","4.45","","35.5","117","3.96","7.09"
"http://nflcombineresults.com/large-combine-data-update-complete/","2009 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2009&pos=&college=","null","Kyle Link","McNeese State (LA)","OT","77.38","305","","5.48","19","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1988 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1988&pos=&college=","null","Kurt Koch","Colorado","DE","79.60","269","","5.32","18","26.5","101","4.53","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","Tight End NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=&pos=TE&college=","null","Gerald Everett","South Alabama","TE","74.75","239","24","4.62","22","37.5","126","4.33","6.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1994 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1994&pos=&college=","null","Jason Mathews","Texas A&M","OT","77.90","274","","5.10","22","26.0","102","4.47","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2017 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2017&pos=&college=","null","Jalen Reeves-Maybin","Tennessee","LB","72.25","230","","9.99","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2016 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2016&pos=&college=","null","Michael Thomas","Ohio State","WR","74.75","212","","4.57","18","35.0","126","4.13","6.80"
"http://nflcombineresults.com/large-combine-data-update-complete/","2003 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2003&pos=&college=","null","Willie Pile","Virginia Tech","FS","74.00","206","","4.58","14","38.0","125","4.04","6.75"
"http://nflcombineresults.com/large-combine-data-update-complete/","2011 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2011&pos=&college=","null","Julian Vandervelde","Iowa","OG","73.88","301","","5.12","23","31.0","104","4.59","7.46"
"http://nflcombineresults.com/large-combine-data-update-complete/","2009 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2009&pos=&college=","null","Christopher Owens","San Jose State","CB","69.75","181","","4.44","14","34.5","110","4.16","6.93"
"http://nflcombineresults.com/large-combine-data-update-complete/","1988 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1988&pos=&college=","null","Al Huge","Hillsdale (MI)","DT","75.30","279","","5.17","23","24.0","103","4.71","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2009 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2009&pos=&college=","null","Clay Matthews","Southern California","OLB","75.13","240","27","4.62","23","35.5","121","4.18","6.90"
